Date,region,total_bags,small_bags,small_bags_percent
2015-12-27,Albany,8696.87,8603.62,98.9277751650881
2015-12-20,Albany,9505.56,9408.07,98.9743897255922
2015-12-13,Albany,8145.35,8042.21,98.7337560694138
2015-12-06,Albany,5811.16,5677.4,97.6982220417266
2015-11-29,Albany,6183.95,5986.26,96.8031759635832
2015-11-22,Albany,6683.91,6556.47,98.0933315978222
2015-11-15,Albany,8318.86,8196.81,98.5328518571054
2015-11-08,Albany,6829.22,6266.85,91.7652381970416
2015-11-01,Albany,11388.36,11104.53,97.5077184072158
2015-10-25,Albany,8625.92,8061.47,93.456350163229
2015-10-18,Albany,8205.66,7877.86,96.0051964132075
2015-10-11,Albany,10123.9,9866.27,97.4552297039678
2015-10-04,Albany,8756.75,8379.98,95.6973763097039
2015-09-27,Albany,6034.46,5888.87,97.5873566151735
2015-09-20,Albany,9267.36,8489.1,91.6021391205262
2015-09-13,Albany,9286.68,8665.19,93.3077267656472
2015-09-06,Albany,7990.1,7762.87,97.15610568078
2015-08-30,Albany,10306.73,10218.93,99.1481294261128
2015-08-23,Albany,10880.36,10745.79,98.7631843064016
2015-08-16,Albany,10443.22,10297.68,98.606368533843
2015-08-09,Albany,9225.89,9116.34,98.8125806832728
2015-08-02,Albany,11847.02,11768.52,99.3373861106
2015-07-26,Albany,13192.69,13061.53,99.0058130676913
2015-07-19,Albany,11287.48,11103.49,98.369963889194
2015-07-12,Albany,24431.9,24290.08,99.4195293857621
2015-07-05,Albany,29898.96,29663.19,99.2114441438766
2015-06-28,Albany,26662.08,26311.76,98.6860740047288
2015-06-21,Albany,21875.65,21662.0,99.0233433063703
2015-06-14,Albany,29002.59,28343.14,97.7262375532668
2015-06-07,Albany,22775.21,22314.99,97.9792941535995
2015-05-31,Albany,23681.01,23222.49,98.0637650167793
2015-05-24,Albany,29355.13,28761.81,97.9788200563241
2015-05-17,Albany,26657.44,26285.43,98.6044796499589
2015-05-10,Albany,16821.3,16535.55,98.3012609013572
2015-05-03,Albany,12570.51,12201.95,97.0680584956378
2015-04-26,Albany,12778.44,12076.83,94.5094236855203
2015-04-19,Albany,14301.92,13602.97,95.1128939331223
2015-04-12,Albany,17104.37,16438.49,96.1069598003317
2015-04-05,Albany,10728.94,9869.16,91.9863472067138
